	ID	Taxa	Kingdom	Seq_Length	Site	Group
0	Q9UHF4	Homo sapiens	Metazoa	553	29	1
1	Q50KB1	Emiliania huxleyi	other	223	17	1
2	Q61508	Mus musculus	Metazoa	559	19	1
3	Q9V496	Drosophila melanogaster	Metazoa	3351	25	1
4	Q00193	Oryctolagus cuniculus	Metazoa	540	24	1
5	P84843	Hybomitra bimaculata	Metazoa	76	20	1
6	Q6UWI2	Homo sapiens	Metazoa	310	20	1
7	Q16552	Homo sapiens	Metazoa	155	23	1
8	P01364	Aplysia californica	Metazoa	108	23	1
9	Q86Y34	Homo sapiens	Metazoa	549	20	1
10	P42579	Lymnaea stagnalis	Metazoa	100	23	1
11	P05164	Homo sapiens	Metazoa	745	48	1
12	P0DQE1	Scolopendra dehaani	Metazoa	109	23	1
13	P97710	Rattus norvegicus	Metazoa	509	31	1
14	P19324	Mus musculus	Metazoa	417	17	1
15	Q9GU69	Lymnaea stagnalis	Metazoa	64	21	1
16	Q8TC27	Homo sapiens	Metazoa	787	16	1
17	P32478	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	413	18	1
18	P07141	Mus musculus	Metazoa	552	32	1
19	P22362	Homo sapiens	Metazoa	96	23	1
20	P85261	Actinidia chinensis var. chinensis	Viridiplantae	213	24	1
21	Q9QYH7	Rattus norvegicus	Metazoa	117	23	1
22	P34746	Oreochromis mossambicus	Metazoa	204	17	1
23	Q25055	Holotrichia diomphalia	Metazoa	104	20	1
24	Q8MJV4	Bos taurus	Metazoa	122	24	1
25	P0DPU8	Scolopendra dehaani	Metazoa	105	24	1
26	K9L4P7	Penicillium chrysogenum	Fungi	604	18	1
27	P04937	Rattus norvegicus	Metazoa	2477	24	1
28	P01068	Ananas comosus	Viridiplantae	246	19	1
29	P19427	Bos taurus	Metazoa	201	18	1
30	P35053	Rattus norvegicus	Metazoa	558	23	1
31	Q01638	Homo sapiens	Metazoa	556	18	1
32	Q9VMD9	Drosophila melanogaster	Metazoa	2188	18	1
33	O11780	Sus scrofa	Metazoa	683	23	1
34	P01538	Viscum album	Viridiplantae	111	26	1
35	Q05928	Mus musculus	Metazoa	177	31	1
36	Q53NL5	Oryza sativa subsp. japonica	Viridiplantae	290	27	1
37	P19034	Bos taurus	Metazoa	101	22	1
38	Q6UXD5	Homo sapiens	Metazoa	910	27	1
39	F1NSM7	Gallus gallus	Metazoa	743	18	1
40	Q39649	Cucurbita maxima	Viridiplantae	141	22	1
41	P53616	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420	24	1
42	P02783	Rattus norvegicus	Metazoa	112	21	1
43	O80323	Pyrus pyrifolia	Viridiplantae	222	22	1
44	P48819	Sus scrofa	Metazoa	459	19	1
45	P11911	Mus musculus	Metazoa	220	28	1
46	Q8J0D2	Geotrichum sp. (strain M128)	Fungi	812	23	1
47	Q86QT3	Centruroides noxius	Metazoa	62	20	1
48	P56722	Bos taurus	Metazoa	979	34	1
49	P0DSJ6	Myrmecia gulosa	Metazoa	62	24	1
50	Q969N2	Homo sapiens	Metazoa	578	21	1
51	P83313	Opistophthalmus carinatus	Metazoa	82	22	1
52	A0A1L6K371	Juglans nigra	Viridiplantae	510	23	1
53	Q00017	Aspergillus aculeatus	Fungi	250	17	1
54	P26010	Homo sapiens	Metazoa	798	19	1
55	Q9UBP4	Homo sapiens	Metazoa	350	21	1
56	O00092	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	465	26	1
57	Q96BY9	Homo sapiens	Metazoa	339	30	1
58	A0A0D1DWQ2	Mycosarcoma maydis	Fungi	290	21	1
59	P86009	Dromaius novaehollandiae	Metazoa	238	17	1
60	P11150	Homo sapiens	Metazoa	499	22	1
61	P15516	Homo sapiens	Metazoa	51	19	1
62	Q76IQ4	Oncorhynchus mykiss	Metazoa	111	26	1
63	P47178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	298	19	1
64	P0DKU2	Pandinus imperator	Metazoa	145	15	1
65	B0CPC6	Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686)	Fungi	206	21	1
66	P0DQC1	Scolopendra dehaani	Metazoa	92	20	1
67	P26780	Sinapis alba	Viridiplantae	99	30	1
68	Q99944	Homo sapiens	Metazoa	293	25	1
69	P51688	Homo sapiens	Metazoa	502	20	1
